gain	0	1	-101.02
gain	1	0	-101.02
gain	0	2	-107.04
gain	2	0	-107.04
gain	0	3	-110.56
gain	3	0	-110.56
gain	0	4	-113.06
gain	4	0	-113.06
gain	0	5	-115.00
gain	5	0	-115.00
gain	0	6	-116.58
gain	6	0	-116.58
gain	0	7	-117.92
gain	7	0	-117.92
gain	0	8	-119.08
gain	8	0	-119.08
gain	0	9	-120.11
gain	9	0	-120.11
gain	1	2	-101.02
gain	2	1	-101.02
gain	1	3	-107.04
gain	3	1	-107.04
gain	1	4	-110.56
gain	4	1	-110.56
gain	1	5	-113.06
gain	5	1	-113.06
gain	1	6	-115.00
gain	6	1	-115.00
gain	1	7	-116.58
gain	7	1	-116.58
gain	1	8	-117.92
gain	8	1	-117.92
gain	1	9	-119.08
gain	9	1	-119.08
gain	2	3	-101.02
gain	3	2	-101.02
gain	2	4	-107.04
gain	4	2	-107.04
gain	2	5	-110.56
gain	5	2	-110.56
gain	2	6	-113.06
gain	6	2	-113.06
gain	2	7	-115.00
gain	7	2	-115.00
gain	2	8	-116.58
gain	8	2	-116.58
gain	2	9	-117.92
gain	9	2	-117.92
gain	3	4	-101.02
gain	4	3	-101.02
gain	3	5	-107.04
gain	5	3	-107.04
gain	3	6	-110.56
gain	6	3	-110.56
gain	3	7	-113.06
gain	7	3	-113.06
gain	3	8	-115.00
gain	8	3	-115.00
gain	3	9	-116.58
gain	9	3	-116.58
gain	4	5	-101.02
gain	5	4	-101.02
gain	4	6	-107.04
gain	6	4	-107.04
gain	4	7	-110.56
gain	7	4	-110.56
gain	4	8	-113.06
gain	8	4	-113.06
gain	4	9	-115.00
gain	9	4	-115.00
gain	5	6	-101.02
gain	6	5	-101.02
gain	5	7	-107.04
gain	7	5	-107.04
gain	5	8	-110.56
gain	8	5	-110.56
gain	5	9	-113.06
gain	9	5	-113.06
gain	6	7	-101.02
gain	7	6	-101.02
gain	6	8	-107.04
gain	8	6	-107.04
gain	6	9	-110.56
gain	9	6	-110.56
gain	7	8	-101.02
gain	8	7	-101.02
gain	7	9	-107.04
gain	9	7	-107.04
gain	8	9	-101.02
gain	9	8	-101.02
noise	0	-105.00	1.00
noise	1	-105.00	1.00
noise	2	-105.00	1.00
noise	3	-105.00	1.00
noise	4	-105.00	1.00
noise	5	-105.00	1.00
noise	6	-105.00	1.00
noise	7	-105.00	1.00
noise	8	-105.00	1.00
noise	9	-105.00	1.00
